Feature,Mean_Abs_SHAP
aReactivePower_L1,0.00010740299634890106
rTotalReactivePower,0.00010659275817093887
aReactivePower_L2,0.00010370231260563401
aReactivePower_L3,0.00010031804517838055
aActivePower_L3,9.307596918921489e-05
rTotalActivePower,8.304135186845089e-05
aPowerFactorPF_L2,7.842869422192963e-05
aApparentPower_L3,7.733535307260196e-05
aActivePower_L2,7.618423879192734e-05
aCurrentL3,7.538820286832505e-05
rTotalApparentPower,6.755996245765343e-05
aApparentPower_L2,6.295483709839191e-05
aCurrentL2,6.0676035076636474e-05
rTotalReactiveEnergy,5.385642890141754e-05
aActivePower_L1,5.234701091640657e-05
airDurchfluss,5.1422446759536914e-05
aApparentPower_L1,4.512168139156216e-05
aCurrentL1,4.387540652229234e-05
rTotalApparentEnergy,2.158538872053804e-05
airTotal,1.9509266408164198e-05
airTempeatur,1.2618869995538701e-05
aCosPhi_L1,5.782763545943224e-06
aCosPhi_L3,5.007972742455991e-06
aCosPhi_L2,4.996882658176105e-06
aVoltage_L2_N,3.3156946227688167e-06
aVoltage_L3_N,3.014765834127342e-06
aVoltage_L1_N,2.2179304174073878e-06
