Feature,Mean_Abs_SHAP
rTotalReactiveEnergy,0.0002434447245344321
rTotalReactivePower,0.00015591317681870959
airDruck,0.00013661475535816454
aReactivePower_L3,0.00013264515946957546
aReactivePower_L1,0.00010365898080099592
airDurchfluss,6.946671021394952e-05
aActivePower_L1,5.815899196713778e-05
aReactivePower_L2,5.558450775053339e-05
rTotalActivePower,3.693252090020849e-05
aActivePower_L3,3.2237020342364535e-05
aPowerFactorPF_L1,3.1923913812417364e-05
aPowerFactorPF_L2,2.833510048979804e-05
aActivePower_L2,2.7251475483240035e-05
rTotalApparentEnergy,2.668857700691755e-05
airTotal,2.4806195592949124e-05
aCosPhi_L2,2.458749779331508e-05
aApparentPower_L3,2.4406891032358644e-05
aCurrentL1,2.4211736739815136e-05
aApparentPower_L1,2.407639609009552e-05
aCurrentL3,2.3427228442444677e-05
rTotalApparentPower,2.0507517436788212e-05
aApparentPower_L2,1.7750872254399752e-05
aCurrentL2,1.7338515443822657e-05
aCosPhi_L3,5.6689062824470205e-06
airTempeatur,4.092237287579568e-06
aVoltage_L3_N,3.0230535617138018e-06
aVoltage_L2_N,2.572586722486244e-06
aCosPhi_L1,2.475183111201318e-06
aVoltage_L1_N,2.4193847950308986e-06
celHum,9.606422633360682e-07
celTemp,7.815687946125157e-07
