Feature,Mean_Abs_SHAP
aApparentPower_L3,9.725492262420708e-05
aCurrentL3,9.348780112562356e-05
aActivePower_L3,9.17456876588408e-05
aReactivePower_L3,8.679281343396757e-05
rTotalActivePower,6.055511860813331e-05
airDurchfluss,5.553019867268935e-05
rTotalApparentPower,5.263360765054397e-05
aApparentPower_L1,4.6014856507454733e-05
aCurrentL1,4.390087098444559e-05
aApparentPower_L2,3.7437176590439484e-05
aCurrentL2,3.515545706167462e-05
aReactivePower_L1,3.461895986509235e-05
rTotalReactiveEnergy,3.3439496998170174e-05
rTotalReactivePower,2.8243077735695008e-05
aActivePower_L1,2.28862868182181e-05
aActivePower_L2,2.248170649969339e-05
rTotalApparentEnergy,2.0037968967007676e-05
airTotal,1.6313786008462704e-05
aPowerFactorPF_L1,1.2543873478586022e-05
airTempeatur,7.0972585969713e-06
aCosPhi_L3,6.571526319268607e-06
aPowerFactorPF_L2,4.802049788088365e-06
aReactivePower_L2,4.516688473458875e-06
aCosPhi_L2,4.3239682163400316e-06
aVoltage_L3_N,2.3899295216889275e-06
aCosPhi_L1,1.7168864247022836e-06
aVoltage_L2_N,1.668967009764414e-06
aVoltage_L1_N,1.5766120252484286e-06
